,YCS01-LM,YCS01-LB,YCS01-MT,YCS01-MB,YCS01-RT,YCS01-RM,YCS01-RB,YCS02-LT,YCS02-RT,YCS03-LT,YCS03-RT,YCS04-RT,YCS05-LT,YCS05-RT,YCS06-LT,YCS06-RT,YCS07-LT,YCS07-RT,YCS08-LT,YCS09-RT,YCS10-LT,YCS10-RT,YCS11-LT,YCS12-RT,YCS13-MT,YCS13-MM,YCS13-MB,YCS13-RT,YCS13-RB,YCS14-LT,YCS14-RT,YCS15-RT,YCS16-LT,YCS16-LM,YCS16-LB,YCS16-MLT,YCS16-MLM,YCS16-MLB,YCS16-MRT,YCS16-MRM,YCS16-MRB,YCS16-RT,YCS16-RM,YCS16-RB,YCS17-LT,YCS17-RT,YCS18-LT,YCS18-RT,YCS19-LT,YCS19-LM,YCS19-LB,YCS19-MLT,YCS19-MLM,YCS19-MLB,YCS19-MRT,YCS19-MRM,YCS19-MRB,YCS19-RT,YCS19-RM,YCS19-RB,taxonomy
OTU_36,5,32,0,6,1,37,3,5,3,19,11,8,138,65,32,53,51,25,0,0,3,15,0,1,0,0,0,0,19,1,149,0,50,29,0,29,0,0,0,59,97,2,37,0,0,13,0,0,7,3,10,0,8,9,0,60,140,14,37,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Parabramis|Parabramis pekinensis
OTU_37,1,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,27,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,26,0,0,15,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Zacco|Zacco platypus
OTU_38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,62,1,1,2,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Xenocypris|Xenocypris fangi
OTU_39,12,0,0,2,4,48,0,0,2,1,0,0,31,1,27,1,4,0,10,1,0,0,22,0,0,0,2,0,3,0,0,0,0,0,1,0,0,1,1,2,34,3,1,0,0,8,0,0,20,1,0,0,0,1,0,18,144,16,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Opsariichthys|Opsariichthys acutipinnis
OTU_40,7,48,1,1,6,5,1,0,3,0,0,13,0,11,1,7,9,11,0,46,2,29,2,0,0,0,0,1,3,59,1,14,171,1,29,41,0,0,0,0,30,1,15,0,5,4,2,14,9,48,9,7,9,0,31,83,462,78,34,2,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Pseudobrama|Pseudobrama simoni
OTU_41,29,0,0,0,0,6,9,2,4,0,0,17,0,31,6,3,1,1,0,0,57,13,0,0,0,0,0,0,1,26,8,96,1,24,0,0,0,0,0,0,5,3,13,0,0,3,0,33,1,0,0,0,0,0,57,30,80,51,0,1,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Pseudolaubuca|Pseudolaubuca engraulis
OTU_42,0,0,0,0,0,0,0,0,24,0,1,0,1,7,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,9,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Squaliobarbus|Squaliobarbus curriculus
OTU_43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,18,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Toxabramis|Toxabramis swinhonis
OTU_44,4,0,0,0,0,0,0,0,0,0,1,1,0,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,Eukaryota|Chordata|Actinopteri|Cypriniformes|Xenocyprididae|Xenocypris|Xenocypris yunnanensis
OTU_45,16,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,127,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Mugilogobius|Mugilogobius myxodermus
OTU_46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,40,1,0,1,38,0,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Taenioides|Taenioides sp. XM-2018
OTU_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,98,5,18,43,0,0,1,2,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Odontamblyopus|Odontamblyopus lacepedii
OTU_48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,17,0,0,0,0,Eukaryota|Chordata|Actinopteri|Gobiiformes|Gobiidae|Rhinogobius|Rhinogobius brunneus
